ExampleNumber,ExampleRow,Field,Value
Three,20,Method 5,14.872
Three,21,Method 1,84.155
Three,22,Method 2,61.472
Three,23,Method 3,53.311
Three,24,Method 4,34.936
Three,25,Method 5,16.152
Three,26,Method 1,77.106
Three,27,Method 2,81.778
Three,28,Method 3,44.256
Three,29,Method 4,44.692
Three,30,Method 5,-0.783
Three,31,Method 1,94.115
Three,32,Method 2,57.338
Three,33,Method 3,38.567
Three,34,Method 4,42.651
Three,35,Method 5,14.017
Three,36,Method 1,84.607
Three,37,Method 2,72.418
Three,38,Method 3,63.806
Three,39,Method 4,38.477
Three,40,Method 5,7.774
Three,41,Method 1,85.111
Three,42,Method 2,66.025
Three,43,Method 3,42.946
Three,44,Method 4,42.965
Three,45,Method 5,33.851
Three,46,Method 1,94.258
Three,47,Method 2,75.426
Three,48,Method 3,47.905
Three,49,Method 4,40.300
Three,50,Method 5,17.617
Four,1,Method 1,87.534
Four,2,Method 2,60.633
Four,3,Method 3,69.838
Four,4,Method 4,49.979
Four,5,Method 5,16.645
Four,6,Method 1,99.853
Four,7,Method 2,67.723
Four,8,Method 3,59.502
Four,9,Method 4,43.946
Four,10,Method 5,6.641
Four,11,Method 1,91.662
Four,12,Method 2,72.208
Four,13,Method 3,57.999
Four,14,Method 4,37.728
Four,15,Method 5,18.124
Four,16,Method 1,95.254
Four,17,Method 2,65.611
Four,18,Method 3,58.824
Four,19,Method 4,45.820
Four,20,Method 5,18.764
Four,21,Method 1,88.379
Four,22,Method 2,69.698
Four,23,Method 3,54.264
Four,24,Method 4,50.404
Four,25,Method 5,17.788
Four,26,Method 1,92.721
Four,27,Method 2,62.752
Four,28,Method 3,47.072
Four,29,Method 4,48.010
Four,30,Method 5,10.307
Four,31,Method 1,89.363
Four,32,Method 2,76.748
Four,33,Method 3,54.619
Four,34,Method 4,43.878
Four,35,Method 5,24.409
Four,36,Method 1,100.099
Four,37,Method 2,61.779
Four,38,Method 3,47.183
Four,39,Method 4,40.775
Four,40,Method 5,18.222
Four,41,Method 1,76.495
Four,42,Method 2,74.545
Four,43,Method 3,68.438
Four,44,Method 4,35.316
Four,45,Method 5,31.926
Four,46,Method 1,83.941
Four,47,Method 2,81.276
Four,48,Method 3,61.926
Four,49,Method 4,45.834
Four,50,Method 5,12.169
Five,1,Method 1,89.549
Five,2,Method 2,74.263
Five,3,Method 3,64.602
Five,4,Method 4,40.763
Five,5,Method 5,18.537
Five,6,Method 1,97.187
Five,7,Method 2,79.864
Five,8,Method 3,57.195
Five,9,Method 4,40.084
Five,10,Method 5,-13.717
Five,11,Method 1,80.507
Five,12,Method 2,65.370
Five,13,Method 3,48.312
Five,14,Method 4,47.337
Five,15,Method 5,10.238
Five,16,Method 1,81.199
Five,17,Method 2,67.945
Five,18,Method 3,55.277
Five,19,Method 4,47.409
Five,20,Method 5,7.420
Five,21,Method 1,98.405
Five,22,Method 2,78.304
Five,23,Method 3,63.976
Five,24,Method 4,34.999
Five,25,Method 5,15.744
Five,26,Method 1,96.847
Five,27,Method 2,68.550
Five,28,Method 3,53.248
Five,29,Method 4,39.409
Five,30,Method 5,21.987
Five,31,Method 1,84.011
Five,32,Method 2,72.886
Five,33,Method 3,57.078
Five,34,Method 4,41.520
Five,35,Method 5,18.864
Five,36,Method 1,89.121
Five,37,Method 2,72.422
Five,38,Method 3,57.004
Five,39,Method 4,38.473
Five,40,Method 5,21.151
Five,41,Method 1,90.697
Five,42,Method 2,79.855
Five,43,Method 3,41.136
Five,44,Method 4,51.640
Five,45,Method 5,28.314
Five,46,Method 1,86.335
Five,47,Method 2,67.278
Five,48,Method 3,48.502
Five,49,Method 4,50.137
Five,50,Method 5,12.337
